Gamma Coronae Australis,0,4.28,0,3
Epsilon Coronae Australis,0,4.91,0,4
Alpha Coronae Australis,0,4.13,0,5
Beta Coronae Australis,0,4.25,0,6
Delta Coronae Australis,0,4.72,0,7
Zeta Coronae Australis,0,4.72,0,8
Upsilon Sagittarii,1,4.56,0,0
Rho1 Sagittarii,1,3.98,0,1
Pi Sagittarii,1,2.95,0,2
Omicron Sagittarii,1,3.91,0,9
Sigma Sagittarii,1,2,0,11
Tau Sagittarii,1,3.47,0,12
Zeta Sagittarii,1,2.61,0,13
Phi Sagittarii,1,3.13,0,14
52 Sagittarii,1,4.56,0,15
62 Sagittarii,1,4.44,0,16
Theta1 Sagittarii,1,4.28,0,17
Iota Sagittarii,1,4.25,0,18
Alpha Sagittarii,1,3.92,0,19
Beta1 Sagittarii,1,3.92,1,3
Mu Sagittarii,1,3.86,1,4
Lambda Sagittarii,1,2.97,1,5
Delta Sagittarii,1,2.86,1,6
Gamma2 Sagittarii,1,3.13,1,7
Epsilon Sagittarii,1,1.8,1,8
Eta Sagittarii,1,3.14,1,10
Alpha Telescopii,2,3.42,1,0
Epsilon Telescopii,2,4.66,1,1
Zeta Telescopii,2,4.25,1,2
Mars,3,1.0,0,10
Saturn,3,1.0,1,9
